Diagnosis,Number,
4619,130,"04619 = ""04619: CREUTZFLDT-JAKOB NEC/NOS (Begin 2008)"""
78552,130,"78552 = ""78552: SEPTIC SHOCK (Begin 2003)"""
1906,129,"1906  = ""1906 : MALIGN NEOPL CHOROID"""
7242,128,"7242  = ""7242 : LUMBAGO"""
8025,128,"8025  = ""8025 : FX MALAR/MAXILLARY-OPEN"""
4733,127,"4733  = ""4733 : CHR SPHENOIDAL SINUSITIS"""
87349,127,#N/A
37632,127,"37632 = ""37632: ORBITAL HEMORRHAGE"""
29620,127,"29620 = ""29620: DEPRESS PSYCHOSIS-UNSPEC"""
41071,126,"41071 = ""41071: SUBENDO INFARCT- INITIAL (Begin 1989)"""
25090,126,"25090 = ""25090: DIAB W COMPL NOS TYPE II"""
5198,126,"5198  = ""5198 : RESP SYSTEM DISEASE NEC"""
V1022,125,#N/A
3314,125,"3314  = ""3314 : OBSTRUCTIV HYDROCEPHALUS"""
413,125,"0413  = ""0413 : KLEBSIELLA INFECT NOS"""
4100,124,"04100 = ""04100: STREPTOCOCCUS UNSPEC (Begin 1992)"""
2763,123,"2763  = ""2763 : ALKALOSIS"""
87343,123,#N/A
515,123,"515   = ""515  : POSTINFLAM PULM FIBROSIS"""
2869,122,"2869  = ""2869 : COAGULAT DEFECT NEC/NOS"""
37681,122,"37681 = ""37681: ORBITAL CYSTS"""
7804,122,"7804  = ""7804 : DIZZINESS AND GIDDINESS"""
V4365,122,#N/A
7810,122,"07810 = ""07810: VIRAL WARTS UNSPEC (Begin 1993)"""
4104,121,"04104 = ""04104: GROUP D STREPTOCOCCUS (Begin 1992)"""
4293,120,"4293  = ""4293 : CARDIOMEGALY"""
9500,120,#N/A
47829,120,"47829 = ""47829: DISEASE OF PHARYNX NEC"""
49120,120,"49120 = ""49120: OBS CHR BRNC W/O ACT EXA (Begin 1991)"""
25053,120,"25053 = ""25053: DIAB EYE MANIF TYPE I DM UNCONT (Begin 1993)"""
80100,119,"80100 = ""80100: CLOS SKULL BASE FRACTURE"""
7054,119,"07054 = ""07054: CHR HEPAT C W/O COMA (Begin 1994)"""
4148,119,"4148  = ""4148 : CHR ISCHEMIC HRT DIS NEC"""
36003,119,"36003 = ""36003: CHRONIC ENDOPHTHALMITIS"""
34981,118,"34981 = ""34981: CEREBROSPINAL RHINORRHEA"""
36622,118,"36622 = ""36622: TOTAL TRAUMATIC CATARACT"""
73028,118,"73028 = ""73028: OSTEOMYELIT NOS-OTH SITE"""
E8493,118,#N/A
36470,118,"36470 = ""36470: ADHESIONS OF IRIS NOS"""
1410,117,"1410  = ""1410 : MAL NEO TONGUE BASE"""
37622,117,"37622 = ""37622: EXOPHTHALM OPHTHALMOPLEG"""
4263,117,"4263  = ""4263 : LEFT BB BLOCK NEC"""
79431,117,"79431 = ""79431: ABNORM ELECTROCARDIOGRAM"""
9050,117,#N/A
8027,116,"8027  = ""8027 : FX ORBITAL FLOOR-OPEN"""
E9289,116,#N/A
37122,116,"37122 = ""37122: SECONDARY CORNEAL EDEMA"""
7842,115,"7842  = ""7842 : SWELLING IN HEAD & NECK"""
6821,115,"6821  = ""6821 : CELLULITIS OF NECK"""
87341,115,#N/A
1969,115,"1969  = ""1969 : MAL NEO LYMPH NODE NOS"""
30560,114,"30560 = ""30560: COCAINE ABUSE-UNSPEC"""
2900,114,"2900  = ""2900 : SENILE DEMENTIA UNCOMP"""
99674,114,#N/A
11284,113,"11284 = ""11284: CANDIDAL ESOPHAGITIS (Begin 1992)"""
2738,113,"2738  = ""2738 : DIS PLAS PROTEIN MET NEC"""
3485,113,"3485  = ""3485 : CEREBRAL EDEMA"""
42781,112,"42781 = ""42781: SINOATRIAL NODE DYSFUNCT"""
1629,112,"1629  = ""1629 : MAL NEO BRONCH/LUNG NOS"""
78659,112,"78659 = ""78659: CHEST PAIN NEC"""
5210,112,"5210  = ""5210 : DENTAL CARIES (End 2001)"""
4660,112,"4660  = ""4660 : ACUTE BRONCHITIS"""
E9320,112,#N/A
8717,111,#N/A
9060,111,#N/A
79902,111,"79902 = ""79902: HYPOXEMIA (Begin 2005)"""
V160,111,#N/A
47819,111,"47819 = ""47819: NASAL & SINUS DIS NEC (Begin 2006)"""
E8498,111,#N/A
E8798,110,#N/A
9181,110,"09181 = ""09181: ACUTE SYPHIL MENINGITIS"""
43820,110,"43820 = ""43820: LATE EFF CVD HEMIPLEG NOS (Begin 1997)"""
4919,110,"4919  = ""4919 : CHRONIC BRONCHITIS NOS"""
37933,110,"37933 = ""37933: ANT DISLOCATION OF LENS"""
43310,109,"43310 = ""43310: CAROTID ART OCCLUS W/O INFARCT (Begin 1993)"""
36362,108,"36362 = ""36362: EXPULSIVE CHOROID HEMORR"""
3814,108,"3814  = ""3814 : NONSUPP OTITIS MEDIA NOS"""
36021,108,"36021 = ""36021: PROGRESSIVE HIGH MYOPIA"""
V5866,108,#N/A
5781,107,"5781  = ""5781 : MELENA"""
5780,107,"5780  = ""5780 : HEMATEMESIS"""
52809,107,"52809 = ""52809: STOMATITS & MUCOSITS NEC (Begin 2006)"""
56409,107,"56409 = ""56409: OTHER CONSTIPATION (Begin 2001)"""
V1021,107,#N/A
36410,107,"36410 = ""36410: CHR IRIDOCYCLITIS NOS"""
34690,107,"34690 = ""34690: MIGRAINE NOS-NOT INTR (Begin 1992)"""
1173,106,"01173 = ""01173: TB PNEUMOTHORAX-MICRO DX"""
490,106,"0490  = ""0490 : LYMPHOCYTIC CHORIOMENING"""
56039,106,"56039 = ""56039: IMPACTION INTESTINE NEC"""
1971,106,"1971  = ""1971 : SEC MAL NEO MEDIASTINUM"""
V1082,106,#N/A
319,105,"0319  = ""0319 : MYCOBACTERIAL DIS NOS"""
4270,105,"4270  = ""4270 : PAROX ATRIAL TACHYCARDIA"""
2440,105,"2440  = ""2440 : POSTSURGICAL HYPOTHYROID"""
4779,105,"4779  = ""4779 : ALLERGIC RHINITIS NOS"""
36551,105,"36551 = ""36551: PHACOLYTIC GLAUCOMA"""
1179,104,"1179  = ""1179 : MYCOSES NEC & NOS"""
11289,104,"11289 = ""11289: CANDIDIASIS SITE NEC"""
3688,104,"3688  = ""3688 : VISUAL DISTURBANCES NEC"""
53540,104,"53540 = ""53540: OTH SPF GSTRT W/O HMRHG (Begin 1991)"""
20280,104,"20280 = ""20280: LYMPHOMA NEC UNSPEC SITE"""
36235,104,"36235 = ""36235: CENT RETINAL VEIN OCCLUS"""
36476,104,"36476 = ""36476: IRIDODIALYSIS"""
7895,104,"7895  = ""7895 : ASCITES (end 2007)"""
5845,103,"5845  = ""5845 : LOWER NEPHRON NEPHROSIS"""
48241,103,"48241 = ""48241: STAPH AUREUS PNEUMON (Begin 1998)"""
2241,103,"2241  = ""2241 : BENIGN NEOPLASM ORBIT"""
36236,103,"36236 = ""36236: VENOUS TRIBUTARY OCCLUS"""
7812,103,"07812 = ""07812: PLANTAR WART (Begin 2008)"""
36284,102,"36284 = ""36284: RETINAL ISCHEMIA"""
53642,102,"53642 = ""53642: GASTROST MECH COMPL (Begin 1998)"""
1978,102,"1978  = ""1978 : SEC MAL NEO GI NEC"""
V125,102,#N/A
36253,102,"36253 = ""36253: CYSTOID MACULAR DEGEN"""
E8495,102,#N/A
E9170,102,#N/A
4111,102,"04111 = ""04111: STAPH AUREUS (Begin 1992)"""
5303,102,"5303  = ""5303 : ESOPHAGEAL STRICTURE"""
36034,101,"36034 = ""36034: FLAT ANTERIOR CHAMBER"""
6826,101,"6826  = ""6826 : CELLULITIS OF LEG"""
5368,101,"5368  = ""5368 : STOMACH FUNCTION DIS NEC"""
79029,100,"79029 = ""79029: OTHER ABNORMAL GLUCOSE (Begin 2003)"""
37633,100,"37633 = ""37633: ORBITAL EDEMA"""
78559,99,"78559 = ""78559: SHOCK W/O TRAUMA NEC"""
2819,99,"2819  = ""2819 : DEFICIENCY ANEMIA NOS"""
7821,98,"7821  = ""7821 : NONSPECIF SKIN ERUPT NEC"""
7560,98,"7560  = ""7560 : ANOMAL SKULL/FACE BONES"""
69282,98,"69282 = ""69282: OTH RADIATION DERMATITIS (Begin 1992)"""
9092,98,#N/A
8730,97,#N/A
3429,96,"3429  = ""3429 : HEMIPLEGIA NOS (End 1994)"""
3229,96,"3229  = ""3229 : MENINGITIS NOS"""
3694,96,"3694  = ""3694 : LEGAL BLINDNESS-USA DEF"""
4101,96,"04101 = ""04101: GROUP A STREPTOCOCCUS (Begin 1992)"""
7852,96,"7852  = ""7852 : CARDIAC MURMURS NEC"""
1963,96,"1963  = ""1963 : MAL NEO LYMPH-AXILLA/ARM"""
36565,95,"36565 = ""36565: GLAUCOMA W OCULAR TRAUMA"""
E9689,95,#N/A
29410,94,"29410 = ""29410: DEMENTIA IN OTH DISEASES W0 BEHAVRAL OCT00-"""
V641,94,#N/A
37934,94,"37934 = ""37934: POST DISLOCATION OF LENS"""
5301,94,"5301  = ""5301 : ESOPHAGITIS (End 1993)"""
V551,93,#N/A
V1271,93,#N/A
3482,93,"3482  = ""3482 : PSEUDOTUMOR CEREBRI"""
5225,92,"5225  = ""5225 : PERIAPICAL ABSCESS"""
36030,92,"36030 = ""36030: HYPOTONY NOS- EYE"""
2441,92,"2441  = ""2441 : POSTABLAT HYPOTHYR NEC"""
5856,92,"5856  = ""5856 : END STAGE RENAL DISEASE (Begin 2005)"""
37611,92,"37611 = ""37611: ORBITAL GRANULOMA"""
3789,92,"3789  = ""3789 : EYE MOVEMNT DISORDER NOS"""
99832,92,#N/A
7070,91,"07070 = ""07070: HPT C W/O HEPAT COMA NOS (Begin 2004)"""
7245,91,"7245  = ""7245 : BACKACHE NOS"""
6823,91,"6823  = ""6823 : CELLULITIS OF ARM"""
2120,91,"2120  = ""2120 : BEN NEO NASAL CAV/SINUS"""
9966,90,#N/A
3648,90,"3648  = ""3648 : IRIS/CILIARY DIS NEC (end 2007)"""
V163,90,#N/A
2858,90,"2858  = ""2858 : ANEMIA NEC"""
37741,90,"37741 = ""37741: ISCHEMIC OPTIC NEUROPTHY"""
V584,90,#N/A
2532,89,"2532  = ""2532 : PANHYPOPITUITARISM"""
3698,89,"3698  = ""3698 : VISUAL LOSS- ONE EYE NOS"""
V420,89,#N/A
36210,89,"36210 = ""36210: BACKGRND RETINOPATHY NOS"""
78830,89,"78830 = ""78830: URINARY INCONTIN NOS (Begin 1992)"""
52100,88,"52100 = ""52100: UNSPECIFIED DENTAL CARIES (Begin 2001)"""
3363,88,"3363  = ""3363 : MYELOPATHY IN OTH DIS"""
5128,88,"5128  = ""5128 : SPONT PNEUMOTHORAX NEC"""
25052,88,"25052 = ""25052: DIAB EYE MANIF TYPE II DM UNCONT (Begin 1993)"""
7707,88,"7707  = ""7707 : PERINATAL CHR RESP DIS"""
5715,88,"5715  = ""5715 : CIRRHOSIS OF LIVER NOS"""
418,88,"0418  = ""0418 : BACTERIAL INFECTION NEC (Begin 1980"
3849,87,"03849 = ""03849: GRAM-NEG SEPTICEMIA NEC"""
87320,87,#N/A
36104,87,"36104 = ""36104: PART DETACH-DIALYSIS"""
4409,87,"4409  = ""4409 : ATHEROSCLEROSIS NOS"""
73008,87,"73008 = ""73008: AC OSTEOMYELITIS NEC"""
70703,87,"70703 = ""70703: DECUBITUS ULCER"
7071,87,"07071 = ""07071: HPT C W HEPATIC COMA NOS (Begin 2004)"""
7990,87,"7990  = ""7990 : ASPHYXIA (End 2005)"""
73313,87,"73313 = ""73313: PATH FX-VERTEBRAE (Begin 1993)"""
29680,87,"29680 = ""29680: MANIC-DEPRESSIVE NOS"""
29590,86,"29590 = ""29590: SCHIZOPHRENIA NOS-UNSPEC"""
37851,86,"37851 = ""37851: PARTIAL THIRD NERV PALSY"""
8029,86,"8029  = ""8029 : FX FACIAL BONE NEC-OPEN"""
8703,86,#N/A
3671,86,"3671  = ""3671 : MYOPIA"""
7993,86,"7993  = ""7993 : DEBILITY NOS"""
5712,86,"5712  = ""5712 : ALCOHOL CIRRHOSIS LIVER"""
36800,85,"36800 = ""36800: AMBLYOPIA NOS"""
2554,85,"2554  = ""2554 : CORTICOADRENAL INSUFFIC (end 2007)"""
7100,85,"7100  = ""7100 : SYST LUPUS ERYTHEMATOSUS"""
7820,85,"7820  = ""7820 : SKIN SENSATION DISTURB"""
3699,85,"3699  = ""3699 : VISUAL LOSS NOS"""
29281,85,"29281 = ""29281: DRUG-INDUCED DELIRIUM"""
25080,85,"25080 = ""25080: DIAB W MANIF NEC TYPE II"""
36089,85,"36089 = ""36089: DISORDER OF GLOBE NEC"""
30511,84,"30511 = ""30511: TOBACCO ABUSE-CONTINUOUS"""
416,84,"0416  = ""0416 : PROTEUS INFECTION NOS"""
2518,83,"2518  = ""2518 : PANCREATIC DISORDER NEC"""
4820,83,"4820  = ""4820 : K. PNEUMONIAE PNEUMONIA"""
7845,83,"7845  = ""7845 : SPEECH DISTURBANCE NEC (end 2009)"""
4359,83,"4359  = ""4359 : TRANS CEREB ISCHEMIA NOS"""
5277,83,"5277  = ""5277 : SALIVARY SECRETION DIS"""
V1254,83,#N/A
4824,82,"4824  = ""4824 : STAPHYLOCOCCAL PNEUMONIA (End 1998)"""
4719,82,"4719  = ""4719 : NASAL POLYP NOS"""
549,82,"0549  = ""0549 : HERPES SIMPLEX NOS"""
7843,81,"7843  = ""7843 : APHASIA"""
586,81,"586   = ""586  : RENAL FAILURE NOS"""
40291,81,"40291 = ""40291: HYPERTEN HEART DIS W CHF"""
3371,81,"3371  = ""3371 : AUT NEUROPTHY IN OTH DIS"""
415,81,"0415  = ""0415 : H. INFLUENZAE INFECT NOS"""
388,81,"0388  = ""0388 : SEPTICEMIA NEC"""
539,80,"0539  = ""0539 : HERPES ZOSTER NOS"""
73819,80,"73819 = ""73819: OTH ACQ HEAD DEFORM (Begin 1992)"""
V161,80,#N/A
4184,80,"04184 = ""04184: OTHER ANAEROBES (Begin 1992)"""
7833,80,"7833  = ""7833 : FEEDING PROBLEM"""
7291,79,"7291  = ""7291 : MYALGIA AND MYOSITIS NOS"""
V1051,79,#N/A
1453,79,"1453  = ""1453 : MALIG NEO SOFT PALATE"""
20410,79,"20410 = ""20410: CHR LYM LEUK W/O RMSION (Begin 1991)"""
71596,79,"71596 = ""71596: OSTEOARTHROS NOS-L/LEG"""
E8120,79,#N/A
80106,78,"80106 = ""80106: CL SKUL BASE FX-COMA NOS"""
78052,78,"78052 = ""78052: INSOMNIA NEC"""
1976,78,"1976  = ""1976 : SEC MAL NEO PERITONEUM"""
73390,77,"73390 = ""73390: BONE & CARTILAGE DIS NOS"""
4414,77,"4414  = ""4414 : ABDOM AORTIC ANEURYSM"""
33829,77,"33829 = ""33829: CHRONIC PAIN NEC (Begin 2006)"""
74320,77,"74320 = ""74320: BUPHTHALMOS NOS"""
1710,77,"01710 = ""01710: ERYTHEMA NODOS TB-UNSPEC"""
7809,76,"7809  = ""7809 : GENERAL SYMPTOMS NEC (End 2002)"""
36641,76,"36641 = ""36641: DIABETIC CATARACT"""
8702,76,#N/A
3612,76,"3612  = ""3612 : SEROUS RETINA DETACHMENT"""
78061,76,"78061 = ""78061: FEVER IN OTHER DISEASES (Begin 2008)"""
78729,76,"78729 = ""78729: DYSPHAGIA NEC (Begin 2007)"""
36614,76,"36614 = ""36614: POST SUBCAP SENILE CATAR"""
42761,76,"42761 = ""42761: ATRIAL PREMATURE BEATS"""
53649,75,"53649 = ""53649: GASTROST COMPL OTH (Begin 1998)"""
8021,75,"8021  = ""8021 : NASAL BONE FX-OPEN"""
1455,75,"1455  = ""1455 : MALIGNANT NEO PALATE NOS"""
3090,75,"3090  = ""3090 : BRIEF DEPRESSIVE REACT"""
37410,74,"37410 = ""37410: ECTROPION NOS"""
6929,74,"6929  = ""6929 : DERMATITIS NOS"""
30503,74,"30503 = ""30503: ALCOHOL ABUSE-IN REMISS-"""
E9352,74,#N/A
4010,74,"4010  = ""4010 : MALIGNANT HYPERTENSION"""
8600,74,#N/A
V1079,73,#N/A
V1589,73,#N/A
3481,73,"3481  = ""3481 : ANOXIC BRAIN DAMAGE"""
V850,73,#N/A
37602,72,"37602 = ""37602: ORBITAL PERIOSTITIS"""
36404,72,"36404 = ""36404: SECOND IRITIS- NONINFEC"""
28489,72,"28489 = ""28489: APLASTIC ANEMIAS NEC (Begin 2007)"""
78900,71,"78900 = ""78900: ABDOM PAIN NOS (Begin 1994)"""
4210,71,"4210  = ""4210 : AC/SUBAC BACT ENDOCARD"""
3843,71,"03843 = ""03843: PSEUDOMONAS SEPTICEMIA"""
2630,71,"2630  = ""2630 : MALNUTRITION MOD DEGREE"""
36523,71,"36523 = ""36523: CHR ANGLE-CLOS GLAUCOMA"""
20281,71,"20281 = ""20281: LYMPHOMAS NEC HEAD"""
V662,71,#N/A
37520,71,"37520 = ""37520: EPIPHORA NOS"""
9211,71,#N/A
5770,71,"5770  = ""5770 : ACUTE PANCREATITIS"""
37603,70,"37603 = ""37603: ORBITAL OSTEOMYELITIS"""
86121,70,#N/A
2899,70,"2899  = ""2899 : BLOOD DISEASE NOS"""
4102,70,"04102 = ""04102: GROUP B STREPTOCOCCUS (Begin 1992)"""
1460,69,"1460  = ""1460 : MALIGNANT NEOPL TONSIL"""
87340,69,#N/A
5272,69,"5272  = ""5272 : SIALOADENITIS"""
6000,69,"6000  = ""6000 : HYPERTROPHY (BENIGN) OF PROSTATE (Begin 2000"
7580,68,"7580  = ""7580 : DOWN-s SYNDROME"""
4710,68,"4710  = ""4710 : POLYP OF NASAL CAVITY"""
36230,68,"36230 = ""36230: RETINAL VASC OCCLUS NOS"""
7832,68,"7832  = ""7832 : ABNORMAL LOSS OF WEIGHT (End 2000)"""
28521,68,"28521 = ""28521: ANEMIA IN END-STAGE RENAL DISEASE (Begin 2000)"""
72989,67,"72989 = ""72989: MUSCSKEL SYMPT LIMB NEC"""
2967,67,"2967  = ""2967 : BIPOLAR AFFECTIVE NOS"""
262,67,"262   = ""262  : OTH SEVERE MALNUTRITION"""
V142,67,#N/A
V148,67,#N/A
1962,67,"1962  = ""1962 : MAL NEO LYMPH INTRA-ABD"""
8713,66,#N/A
V653,66,#N/A
74351,66,"74351 = ""74351: VITREOUS ANOMALIES"""
30393,66,"30393 = ""30393: ALCOH DEP NECNOS-REMISS"""
3559,66,"3559  = ""3559 : MONONEURITIS NOS"""
53560,65,"53560 = ""53560: DUODENITIS W/O HMRHG (Begin 1991)"""
1490,65,"1490  = ""1490 : MAL NEO PHARYNX NOS"""
5363,65,"5363  = ""5363 : GASTROPARESIS (Begin 1994)"""
3441,65,"3441  = ""3441 : PARAPLEGIA NOS"""
3708,65,"3708  = ""3708 : KERATITIS NEC"""
135,65,"135   = ""135  : SARCOIDOSIS"""
38010,64,"38010 = ""38010: INFEC OTITIS EXTERNA NOS"""
4780,64,"4780  = ""4780 : HYPERTRPH NASAL TURBINAT"""
37532,64,"37532 = ""37532: ACUTE DACRYOCYSTITIS"""
57420,64,"57420 = ""57420: CHOLELITHIASIS NOS"""
79092,64,"79092 = ""79092: ABN COAGULATION PROFILE (Begin 1993)"""
30590,64,"30590 = ""30590: DRUG ABUSE NEC-UNSPEC"""
37610,64,"37610 = ""37610: CHR INFLAM NOS- ORBIT"""
V113,64,#N/A
2512,63,"2512  = ""2512 : HYPOGLYCEMIA NOS"""
3970,63,"3970  = ""3970 : TRICUSPID VALVE DISEASE"""
429,63,"0429  = ""0429 : AIDS- UNSPECIFIED (Begin 1986"
37189,63,"37189 = ""37189: CORNEAL DISORDER NEC"""
43889,63,"43889 = ""43889: OT LATE EFFECTS OF CVD (Begin 1997)"""
30401,63,"30401 = ""30401: OPIOID DEPENDENCE-CONTIN"""
3819,63,"03819 = ""03819: OT STAPH SEPTICEMIA (Begin 1997)"""
E8494,63,#N/A
2866,62,"2866  = ""2866 : DEFIBRINATION SYNDROME"""
9986,62,#N/A
5121,62,"5121  = ""5121 : IATROGENIC PNEUMOTHORAX (Begin 1994)"""
87363,62,#N/A
36106,62,"36106 = ""36106: OLD DETACHMENT- PARTIAL"""
36618,62,"36618 = ""36618: HYPERMATURE CATARACT"""
48283,62,"48283 = ""48283: OTH GRAM NEG PNEUMONIA (Begin 1992)"""
2910,62,"2910  = ""2910 : DELIRIUM TREMENS"""
2535,61,"2535  = ""2535 : DIABETES INSIPIDUS"""
37922,61,"37922 = ""37922: CRYSTAL DEPOSIT VITREOUS"""
36561,61,"36561 = ""36561: GLAUC W PUPILLARY BLOCK"""
37530,61,"37530 = ""37530: DACRYOCYSTITIS NOS"""
78829,61,"78829 = ""78829: OTH SPEC RETENTION OF URINE (Begin 1993)"""
74339,61,"74339 = ""74339: CONG CATAR/LENS ANOM NEC"""
V5865,61,#N/A
5641,61,"5641  = ""5641 : IRRITABLE COLON"""
340,61,"0340  = ""0340 : STREP SORE THROAT"""
36002,61,"36002 = ""36002: PANOPHTHALMITIS"""
7231,60,"7231  = ""7231 : CERVICALGIA"""
591,60,"591   = ""591  : HYDRONEPHROSIS"""
V180,60,#N/A
36107,60,"36107 = ""36107: OLD DETACHMENT- TOTAL"""
E9204,60,#N/A
30001,60,"30001 = ""30001: PANIC DISORDER"""
7078,60,"7078  = ""7078 : CHRONIC SKIN ULCER NEC"""
36559,60,"36559 = ""36559: GLAUCOMA W LENS DIS NEC"""
78001,60,"78001 = ""78001: COMA (Begin 1992)"""
7834,60,"7834  = ""7834 : LACK NORM PHYSIOL DEVEL (End 2000)"""
72190,60,"72190 = ""72190: SPONDYLOS NOS W/O MYELOP"""
7962,59,"7962  = ""7962 : ELEV BL PRES W/O HYPERTN"""
53290,59,"53290 = ""53290: DUODENAL ULCER NOS"""
5283,59,"5283  = ""5283 : CELLULITIS/ABSCESS MOUTH"""
45981,59,"45981 = ""45981: VENOUS INSUFFICIENCY NOS"""
7807,59,"7807  = ""7807 : MALAISE AND FATIGUE (End 1998)"""
22809,59,"22809 = ""22809: HEMANGIOMA NEC"""
9970,59,#N/A
7991,59,"7991  = ""7991 : RESPIRATORY ARREST-"""
431,59,"0431  = ""0431 : HIV CAUS SP CNS DISEASE (Begin 1986"
25003,59,"25003 = ""25003: DIABETES MELL TYPE I UNCONT (Begin 1993)"""
9961,58,#N/A
V4578,58,#N/A
3526,58,"3526  = ""3526 : MULT CRANIAL NERVE PALSY"""
436,58,"436   = ""436  : CVA"""
4168,58,"4168  = ""4168 : CHR PULMON HEART DIS NEC"""
V08,58,#N/A
36371,58,"36371 = ""36371: SEROUS CHOROID DETACHMNT"""
29181,58,"29181 = ""29181: ALCOHOL WITHDRAWAL (Begin 1996)"""
E8121,58,#N/A
2740,57,"2740  = ""2740 : GOUTY ARTHROPATHY (end 2009)"""
7868,57,"7868  = ""7868 : HICCOUGH"""
36041,57,"36041 = ""36041: BLIND HYPOTENSIVE EYE"""
8505,57,#N/A
1623,57,"01623 = ""01623: TB OF URETER-MICRO DX"""
99702,57,#N/A
3963,57,"3963  = ""3963 : MITRAL/AORTIC VAL INSUFF"""
3109,57,"3109  = ""3109 : NONPSYCHOT BRAIN SYN NOS"""
38110,57,"38110 = ""38110: CHR SEROUS OM SIMP/NOS"""
V452,56,#N/A
V571,56,#N/A
53190,56,"53190 = ""53190: STOMACH ULCER NOS"""
28260,56,"28260 = ""28260: SICKLE-CELL ANEMIA NOS"""
31401,56,"31401 = ""31401: ATTN DEFICIT W HYPERACT"""
7380,56,"7380  = ""7380 : ACQ NOSE DEFORMITY"""
4262,56,"4262  = ""4262 : LEFT BB HEMIBLOCK"""
37647,55,"37647 = ""37647: ORBIT DEFORM D/T TRAUMA"""
71589,55,"71589 = ""71589: OSTEOARTHROSIS-MULT SITE"""
4613,55,"4613  = ""4613 : AC SPHENOIDAL SINUSITIS"""
V1089,55,#N/A
412,55,"0412  = ""0412 : PNEUMOCOCCUS INFECT NOS"""
1177,54,"1177  = ""1177 : ZYGOMYCOSIS"""
7948,54,"7948  = ""7948 : ABN LIVER FUNCTION STUDY"""
7866,54,"7866  = ""7866 : CHEST SWELLING/MASS/LUMP"""
8082,54,#N/A
7092,54,"7092  = ""7092 : SCAR & FIBROSIS OF SKIN"""
5118,54,"5118  = ""5118 : PLEURAL EFFUS NEC NOT TB (end 2008)"""
8501,54,#N/A
37420,54,"37420 = ""37420: LAGOPHTHALMOS NOS"""
3079,54,"3079  = ""3079 : SPECIAL SYMPTOM NECNOS"""
9100,54,#N/A
1987,54,"1987  = ""1987 : SECOND MALIG NEO ADRENAL"""
75982,54,"75982 = ""75982: MARFAN SYNDROME (Begin 1989)"""
E8160,54,#N/A
28850,54,"28850 = ""28850: LEUKOCYTOPENIA NOS (Begin 2006)"""
7862,53,"7862  = ""7862 : COUGH"""
6961,53,"6961  = ""6961 : OTHER PSORIASIS"""
56211,53,"56211 = ""56211: DVRTCLI COLON (W/O HMRHG) (Begin 1980)"""
6989,53,"6989  = ""6989 : PRURITIC DISORDER NOS"""
3798,53,"3798  = ""3798 : EYE DISORDERS NEC"""
82021,53,#N/A
45829,53,"45829 = ""45829: OTHER IATROGENIC HYPOTENSION (Begin 2003)"""
37992,53,"37992 = ""37992: SWELLING OR MASS OF EYE"""
37143,53,"37143 = ""37143: BAND-SHAPED KERATOPATHY"""
V600,53,#N/A
1430,53,"1430  = ""1430 : MALIG NEO UPPER GUM"""
V851,53,#N/A
30520,52,"30520 = ""30520: CANNABIS ABUSE-UNSPEC"""
37700,52,"37700 = ""37700: PAPILLEDEMA NOS"""
3842,52,"03842 = ""03842: E COLI SEPTICEMIA"""
7889,52,"07889 = ""07889: VIRAL DISEASE NEC"""
E8782,52,#N/A
9952,52,"09952 = ""09952: CHLAMYDIA-ANUS RECTUM (Begin 1992)"""
V443,52,#N/A
7813,52,"7813  = ""7813 : LACK OF COORDINATION"""
V1041,52,#N/A
V1201,51,#N/A
5559,51,"5559  = ""5559 : REGIONAL ENTERITIS NOS"""
2631,51,"2631  = ""2631 : MALNUTRITION MILD DEGREE"""
36033,51,"36033 = ""36033: HYPOTONY W EYE DIS NEC"""
36310,51,"36310 = ""36310: DISSEM CHORIORETINIT NOS"""
V168,51,#N/A
4912,51,"4912  = ""4912 : OBSTRUCT CHR BRONCHITIS (Begin 1980"
49300,50,"49300 = ""49300: EXT ASTHMA W/O STAT ASTH"""
53011,50,"53011 = ""53011: REFLUX ESOPHAGITIS (Begin 1993)"""
74333,50,"74333 = ""74333: NUCLEAR CATARACT"""
3501,50,"3501  = ""3501 : TRIGEMINAL NEURALGIA"""
80102,49,"80102 = ""80102: CL SKUL BASE FX-BRF COMA"""
7295,49,"7295  = ""7295 : PAIN IN LIMB"""
E9478,49,#N/A
3839,49,"3839  = ""3839 : MASTOIDITIS NOS"""
37810,49,"37810 = ""37810: EXOTROPIA NOS"""
30928,49,"30928 = ""30928: ADJ REACT-MIXED EMOTION"""
9992,49,#N/A
5960,49,"5960  = ""5960 : BLADDER NECK OBSTRUCTION"""
27652,49,"27652 = ""27652: HYPOVOLEMIA (Begin 2005)"""
4299,48,"4299  = ""4299 : HEART DISEASE NOS"""
36132,48,"36132 = ""36132: HORSESHOE TEAR OF RETINA"""
4786,48,"4786  = ""4786 : EDEMA OF LARYNX"""
4239,48,"4239  = ""4239 : PERICARDIAL DISEASE NOS"""
81342,48,#N/A
E8190,48,#N/A
73329,48,"73329 = ""73329: BONE CYST NEC"""
78097,48,"78097 = ""78097: ALTERED MENTAL STATUS (Begin 2006)"""
78099,48,"78099 = ""78099: OTHER GENERAL SYMPTOMS (Begin 2002)"""
4588,48,"4588  = ""4588 : OT SPEC HYPOTENSION (Begin 1997)"""
78060,48,"78060 = ""78060: FEVER NOS (Begin 2008)"""
37200,48,"37200 = ""37200: ACUTE CONJUNCTIVITIS NOS"""
419,48,"0419  = ""0419 : BACTERIAL INFECTION NOS"""
99652,48,#N/A
